num|en|ht
051|Education, creative healing and nutrition are not separate needs — a child needs all three at once. So we deliver all three, together.|Edikasyon, gerizon pa atizay ak nitrisyon pa separe — yon timoun bezwen twa yo ansanm. Se sa k fè n ba yo twa yo, an menm tan.
052|Illustration: children receiving school bags and supplies|Ilistrasyon: timoun k ap resevwa sak lekòl ak founiti
053|Education|Edikasyon
054|School supplies & learning|Founiti lekòl ak aprantisaj
055|Nothing should stand between a child and a classroom — least of all the price of a notebook.|Pa dwe gen anyen ki bloke yon timoun pou l antre nan klas — sitou pa pri yon kaye.
056|Full school kits: bag, notebooks, pencils, uniform|Sak lekòl konplè: sak, kaye, kreyon, inifòm
057|Scholarships covering a full school year|Bous pou kouvri yon ane lekòl konplè
058|Mini-libraries and reading corners in the neighbourhood|Ti bibliyotèk ak kwen lekti nan katye yo
059|Homework support with volunteer tutors|Sipò pou devwa ak pwofesè volontè
060|Illustration: children sitting in a circle, drawing and painting together|Ilistrasyon: timoun ki chita an sèk, k ap desine ak pentire ansanm
061|Creative development|Devlopman kreyatif
062|Art, expression & healing|Atizay, ekspresyon ak gerizon
063|Many of our children have seen too much. Art gives them a language when words are still too heavy.|Anpil nan timoun nou yo wè twòp bagay. Atizay ba yo yon lang lè mo yo twò lou pou soti.
064|Weekly drawing and painting workshops|Atelye desen ak penti chak semèn
065|Storytelling and writing circles in Haitian Creole|Sèk rakonte istwa ak ekriti an Kreyòl ayisyen
066|Music, dance and theatre sessions|Sesyon mizik, dans ak teyat
067|Emotional support with trained facilitators|Sipò emosyonèl ak animatè ki fòme
068|Illustration: hot meals being served at a community canteen|Ilistrasyon: repa cho k ap sèvi nan yon kantin kominotè
069|Nutrition & health|Nitrisyon ak sante
070|Warm meals & hygiene|Repa cho ak ijyèn
071|An empty stomach cannot hold a lesson.|Yon vant vid pa ka kenbe yon leson.
072|keeps children fed, healthy and present.|kenbe timoun yo byen manje, an sante epi prezan.
073|Hot meals served on workshop and school days|Repa cho sèvi nan jou atelye ak jou lekòl
074|Hygiene kits: soap, toothbrush, sanitary supplies|Twous ijyèn: savon, bwòs dan, pwodwi sanitè
075|Clean drinking water at every activity|Dlo pwòp pou bwè nan chak aktivite
076|Health check-ups and referrals for the most fragile|Tcheke sante ak referans pou timoun ki pi frajil yo
077|How we work|Kijan n ap travay
078|Small, close, and accountable|Piti, pre, epi responsab
079|We would rather show you how we work than impress you with numbers we cannot back up. Here is what we commit to.|Nou prefere montre w kijan n ap travay olye n enpresyone w ak chif nou pa ka pwouve. Men sa n angaje n pou.
080|Close to the children|Pre timoun yo
081|We work in Haiti, with families we know by name — not through a distant office.|Nou travay an Ayiti, ak fanmi nou konnen non yo — pa nan yon biwo ki lwen.
082|No child's face and no family's hardship is used to raise money. Ever.|Nou pa janm sèvi figi yon timoun ni difikilte yon fanmi pou fè apèl pou lajan. Janm.
083|Every gift tracked|Chak don swivi
084|Ask what your donation paid for and we send you the answer, with the receipts.|Mande kisa don ou te peye, n ap voye repons lan ba ou, avèk resi yo.
085|Led locally|Dirije sou plas
086|Haitian teachers, artists and neighbours run the programmes, week after week.|Pwofesè ayisyen, atis ak vwazen k ap mennen pwogram yo, chak semèn.
087|What our weeks look like|Semèn nou yo sanble sa
088|Illustrations of our programmes — school days, workshops, shared meals. They are not photographs of the children we serve, and that is a deliberate choice.|Ilistrasyon pwogram nou yo — jou lekòl, atelye, repa pataje. Se pa foto timoun n ap sèvi yo, epi se yon chwa nou fè.
089|Illustration: a child writing in a new notebook|Ilistrasyon: yon timoun k ap ekri nan yon nouvo kaye
090|School kit distribution|Distribisyon sak lekòl
091|Illustration: children painting during a creative workshop|Ilistrasyon: timoun k ap pentire nan yon atelye kreyatif
092|Painting workshop|Atelye penti
093|Illustration: a volunteer serving a hot meal|Ilistrasyon: yon volontè k ap sèvi yon repa cho
094|Meal service|Sèvis repa
095|Illustration: a reading corner with children choosing books|Ilistrasyon: yon kwen lekti ak timoun k ap chwazi liv
096|Reading corner|Kwen lekti
097|Illustration: children and volunteers together|Ilistrasyon: timoun ak volontè yo ansanm
098|Working side by side|N ap travay bò kote youn ak lòt
099|Illustration: children walking to school in the morning light|Ilistrasyon: timoun k ap mache lekòl nan limyè maten an
100|First day of school|Premye jou lekòl
101|AI-generated illustrations. We do not publish photographs of the children in our programmes.|Ilistrasyon ki fèt ak IA. Nou pa pibliye foto timoun ki nan pwogram nou yo.
102|Why you will not see their faces|Poukisa ou pa wè figi yo
103|The images on this site are AI-generated illustrations. A photograph of a child in need of help follows that child for life — online, at school, into adulthood. We are not willing to trade that for a donation. The programmes and the needs are real; the faces are not, and we would rather say so plainly.|Imaj sou sit sa a se ilistrasyon ki fèt ak IA. Yon foto yon timoun ki nan bezwen swiv li tout lavi l — sou entènèt, nan lekòl, rive granmoun. Nou pa dakò fè echanj sa pou yon don. Pwogram yo ak bezwen yo reyèl; figi yo pa reyèl, epi nou prefere di sa klè.
104|What we will show you|Sa n ap montre w
105|Instead of children's portraits: what your gift bought, when, and for how many. Write to us and we send the breakdown — school kits, meals served, workshop materials — with the receipts behind it. Partners and institutions can request the same on paper.|Olye pòtrè timoun: sa don ou te achte, kilè, ak pou konbyen moun. Ekri nou n ap voye detay la ba ou — sak lekòl, repa ki sèvi, materyèl atelye — avèk resi yo. Patenè ak enstitisyon ka mande menm bagay la sou papye.
106|Give a pencil, give a future|Bay yon kreyon, bay yon avni
107|A school kit costs about 25 USD. A month of hot meals for one child, about 15 USD. Whatever you give lands directly in a child's hands in Haiti.|Yon sak lekòl koute anviwon 25 USD. Yon mwa repa cho pou yon timoun, anviwon 15 USD. Nenpòt sa ou bay rive dirèk nan men yon timoun an Ayiti.
108|Donate by card or PayPal|Fè don ak kat oswa PayPal
109|The fastest way to give from anywhere in the world — card, PayPal balance or bank account. Secure checkout on PayPal.|Fason ki pi rapid pou bay kòb de nenpòt kote nan mond lan — kat, sòl PayPal oswa kont labank. Peman an sekirize sou PayPal.
110|Give with PayPal|Bay ak PayPal
111|Bank transfer|Transfè labank
112|For larger gifts, recurring support or institutional partners.|Pou pi gwo don, sipò regilye oswa patenè enstitisyonèl.
113|Request a receipt|Mande yon resi
114|Give by phone|Bay kòb pa telefòn
115|Prefer to talk to a human, or give from Haiti? Call our donation line — we will walk you through it.|Ou prefere pale ak yon moun, oswa bay kòb depi Ayiti? Rele liy don nou an — n ap gide w.
116|Call the donation line|Rele liy don an
117|Become a volunteer|Vin volontè
118|Teachers, artists, nurses, students — on site in Haiti or remotely (design, translation, admin). Tell us what you can give.|Pwofesè, atis, enfimyè, elèv — sou plas an Ayiti oswa adistans (design, tradiksyon, admin). Di nou sa ou ka bay.
119|Corporate partnership|Patenarya antrepriz
120|Sponsor a school year, fund a workshop cycle, or match your employees' gifts. We provide full reporting on the impact.|Patwone yon ane lekòl, finanse yon sik atelye, oswa egalize don anplwaye ou yo. Nou bay rapò konplè sou enpak la.
121|Sponsor a child|Patwone yon timoun
122|Cover one child's school year, meals and workshops. You receive news, drawings and progress updates through the year.|Kouvri ane lekòl, repa ak atelye yon timoun. Ou resevwa nouvèl, desen ak rapò sou pwogrè li pandan tout ane a.
123|Let's write the next chapter together|Ann ekri pwochen chapit la ansanm
124|A question, a partnership idea, an offer to help? Write to us — a real person answers, usually within two days.|Ou gen kesyon, yon lide patenarya, oswa ou vle ede? Ekri nou — yon moun reyèl ap reponn ou, anjeneral nan de jou.
125|Your name|Non ou
126|Jean-Baptiste Pierre|Jean-Baptiste Pierre
127|Email|Imèl
128|you@example.com|you@example.com
129|I am writing about|M ap ekri sou
130|A donation|Yon don
131|Volunteering|Volontarya
132|A corporate partnership|Yon patenarya antrepriz
133|Sponsoring a child|Patwonaj yon timoun
134|Something else|Lòt bagay
135|Your message|Mesaj ou
136|Tell us how you would like to help, or what you would like to know.|Di nou kijan ou ta renmen ede, oswa sa ou ta renmen konnen.
137|Do not fill this field|Pa ranpli jaden sa a
138|Send message|Voye mesaj
139|We never share your details. Fields marked * are required.|Nou pa janm pataje enfòmasyon ou. Jaden ki make * obligatwa.
140|Where we work|Kote n ap travay
141|Phone & WhatsApp|Telefòn ak WhatsApp
142|Follow the children's stories|Swiv istwa timoun yo
143|Facebook|Facebook
144|Instagram|Instagram
145|WhatsApp|WhatsApp
146|We never publish photographs of the children in our programmes. What you see here are illustrations.|Nou pa janm pibliye foto timoun ki nan pwogram nou yo. Sa ou wè la se ilistrasyon.
147|Ti kreyon espwa — Chak timoun gen yon bèl istwa pou l ekri.|Ti kreyon espwa — Chak timoun gen yon bèl istwa pou l ekri.
148|Explore|Eksplore
149|Our programs|Pwogram nou yo
150|Take action|Pase aksyon
151|Reach us|Kontakte nou
152|Made with love in Haiti|Fèt ak lanmou an Ayiti
